CDTA2020,annee_fin_observation,# of Dwelling Units,Infested Dwelling Unit Count,Eradicated Unit Count,Re-infested  Dwelling Unit Count,taux_infestation,taux_eradication,taux_reinfestation,Borough,pop_num,population_density,pop_pov_pct,pop_pov_u18_pct,pop_65p_pct,unit_num,unit_occ_own_pct,rent_burden_med,med_r_1f,med_r_4f,med_r_cn,med_r_ot,rent_gross_med_adj
MN08,2023,145519.0,192.0,171.0,8.0,0.002218967426259228,0.0018760005835063542,7.038801967734492e-05,MANHATTAN,138953.0,972.0,0.282,0.268,0.122,69281.0,0.134,29.7,6671000.0,2650000.0,1750000.0,378680.0,1300.0
MN08,2024,122542.0,275.0,269.0,154.0,0.0022732244457983556,0.0022144859727918184,0.0011265343979870726,MANHATTAN,138953.0,972.0,0.282,0.268,0.122,69281.0,0.134,29.7,6671000.0,2650000.0,1750000.0,378680.0,1300.0
MN09,2018,22359.0,447.0,420.0,34.0,0.019656146377465683,0.019011044753198925,0.0017399544613962627,MANHATTAN,110800.0,477.0,0.311,0.40399999999999997,0.13,56081.0,0.076,32.2,1956290.0,1000210.0,701910.0,373300.0,1210.0
MN09,2019,18632.0,277.0,240.0,36.0,0.015042419846574015,0.012032329849957613,0.0015480125898732703,MANHATTAN,111452.0,48.0,0.34,0.42,0.134,56147.0,0.055,31.6,3328050.0,964650.0,815740.0,337920.0,1040.0
MN09,2020,43318.0,360.0,357.0,17.0,0.008830169731002842,0.008588140912432582,0.00044328612885161236,MANHATTAN,123582.0,532.0,0.312,0.452,0.155,56589.0,0.11199999999999999,33.5,2145360.0,957450.0,871520.0,177830.0,1460.0
MN09,2021,40835.0,190.0,179.0,20.0,0.004650989213078246,0.004413271940803604,0.00048384874692443023,MANHATTAN,123582.0,532.0,0.312,0.452,0.155,56589.0,0.11199999999999999,33.5,3470010.0,812420.0,1451340.0,59800.0,1260.0
MN09,2022,45114.0,201.0,164.0,9.0,0.004274378293112682,0.003474096576177257,0.00035470425831028984,MANHATTAN,128317.0,553.0,0.382,0.5539999999999999,0.13,61073.0,0.078,33.5,2529390.0,735410.0,1033040.0,158170.0,1200.0
MN09,2023,43118.0,153.0,151.0,11.0,0.003897198058501242,0.0038388890206003676,0.0002669473788278453,MANHATTAN,128317.0,553.0,0.382,0.5539999999999999,0.13,61073.0,0.078,33.5,705.0,718750.0,970000.0,157540.0,1200.0
MN09,2024,35451.0,119.0,117.0,4.0,0.00441705725537429,0.004331388228768399,0.00023314395969557293,MANHATTAN,128317.0,553.0,0.382,0.5539999999999999,0.13,61073.0,0.078,33.5,705.0,718750.0,970000.0,157540.0,1200.0
MN10,2018,28106.0,693.0,627.0,48.0,0.026344011093271016,0.023266453322929828,0.0009286356551717366,MANHATTAN,214040.0,73.0,0.184,0.276,0.155,79096.0,0.107,31.0,2809410.0,848220.0,1042570.0,400080.0,1630.0
MN10,2019,28292.0,573.0,548.0,49.0,0.018644622293665,0.01776161199498307,0.0019326895642934948,MANHATTAN,204096.0,696.0,0.155,0.174,0.156,81726.0,0.105,30.1,2581410.0,969480.0,1079450.0,286270.0,1520.0
MN10,2020,49450.0,569.0,544.0,48.0,0.010333001458176732,0.009253361219663261,0.0016564236307493624,MANHATTAN,216768.0,74.0,0.21,0.281,0.18,82576.0,0.12,32.6,2560780.0,1011030.0,1008380.0,152940.0,1650.0
MN10,2021,47227.0,357.0,332.0,35.0,0.00659244046822184,0.005731418948726349,0.0009584634079370563,MANHATTAN,216768.0,74.0,0.21,0.281,0.18,82576.0,0.12,32.6,3139530.0,936350.0,1020070.0,174880.0,1540.0
MN10,2022,47734.0,282.0,269.0,53.0,0.006034664541696778,0.005867635184562808,0.001121250945734372,MANHATTAN,202678.0,692.0,0.201,0.22699999999999998,0.196,87031.0,0.13699999999999998,34.1,2343810.0,865190.0,978810.0,175990.0,1630.0
MN10,2023,46983.0,288.0,242.0,48.0,0.006365928282816697,0.005586834540407737,0.0018299074447867764,MANHATTAN,202678.0,692.0,0.201,0.22699999999999998,0.196,87031.0,0.13699999999999998,34.1,2750000.0,601670.0,807500.0,146430.0,1630.0
MN10,2024,35066.0,166.0,158.0,36.0,0.005121971672895711,0.005036368310513556,0.002195098361860499,MANHATTAN,202678.0,692.0,0.201,0.22699999999999998,0.196,87031.0,0.13699999999999998,34.1,2750000.0,601670.0,807500.0,146430.0,1630.0
MN11,2018,23238.0,453.0,298.0,51.0,0.017096387950618006,0.016278854608954788,0.002879136582054851,MANHATTAN,125771.0,,,,,,,,4118510.0,776630.0,878270.0,288830.0,
MN11,2019,19927.0,250.0,200.0,35.0,0.018915853885783505,0.01678216581331495,0.005439745950379435,MANHATTAN,125771.0,,,,,,,,1794250.0,827190.0,950040.0,281330.0,
MN11,2020,44039.0,274.0,266.0,36.0,0.00718798238534309,0.006962677687561329,0.0016304257174509212,MANHATTAN,125771.0,,,,,,,,3248050.0,723660.0,830830.0,113810.0,
MN11,2021,42214.0,196.0,192.0,22.0,0.005908988661179712,0.005760568458612077,0.0013268497840621264,MANHATTAN,125771.0,,,,,,,,3248050.0,716030.0,784880.0,139380.0,
MN11,2022,43743.0,139.0,132.0,31.0,0.0035166186341439296,0.0032989887987791367,0.0013158313619559341,MANHATTAN,125771.0,,,,,,,,3248050.0,625490.0,842940.0,210030.0,
MN11,2023,52463.0,158.0,149.0,23.0,0.0037340195403441885,0.003567764704392837,0.0011774303010546447,MANHATTAN,125771.0,,,,,,,,2500000.0,487500.0,677000.0,97500.0,
MN11,2024,35200.0,132.0,130.0,8.0,0.005429838441959664,0.005393805247332934,0.0002348628474046909,MANHATTAN,125771.0,,,,,,,,2500000.0,487500.0,677000.0,97500.0,
MN12,2018,46557.0,897.0,844.0,106.0,0.0214558556244194,0.020629779951718864,0.002391693666410069,MANHATTAN,180206.0,,,,,,,,2368140.0,911960.0,640990.0,264270.0,
MN12,2019,44310.0,607.0,578.0,50.0,0.01534543782384851,0.014414406421183159,0.0012375069418123935,MANHATTAN,180206.0,,,,,,,,2753970.0,874650.0,705550.0,206990.0,
